participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,intended_trial_start_ms,actual_trial_start_ms,condition,target_direction,flankers_direction,array_pattern_text,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,feedback_type,practice_pass_flag,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,excluded_rt_low,excluded_rt_high,included_in_rt_analysis,task_accuracy_below_threshold,valid_task_data,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,dccs_support_rule,dccs_error_type,dccs_dimension_highlight_used,dccs_demo_type,dccs_label_mode,dccs_post_support_rule_confusion,rule,cue_audio_file,cue_label,cue_audio_start_global_ms,cue_audio_expected_duration_ms,cue_audio_stop_global_ms,stimulus_color,stimulus_shape,stimulus_identity,trial_transition,previous_rule,current_rule,cue_to_first_response_ms
050,050_T1_20260518_150242,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,1,13,formal,incongruent,1779087762,241.118,2026-05-18T15:04:54.663,0,0,0,1,129234.888,129241.014,incongruent,right,left,<<><<,j,j,1,6784.987,136125.753,none,,129334.888,129340.766,136125.753,3000,6784.987,136125.753,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 129234.888, ""actual_onset_global_ms"": 129241.014, ""actual_offset_global_ms"": 129339.329, ""actual_duration_ms"": 98.315}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 129334.888, ""actual_onset_global_ms"": 129340.766, ""actual_offset_global_ms"": 136125.753, ""actual_duration_ms"": 6784.987}]",,,,,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050,050_T1_20260518_150242,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,2,14,formal,congruent,1779087762,241.118,2026-05-18T15:05:01.561,0,0,0,1,136132.863,136137.468,congruent,right,right,>>>>>,j,j,1,5243.973,141485.177,none,,136232.863,136241.204,141485.177,3000,5243.973,141485.177,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 136132.863, ""actual_onset_global_ms"": 136137.468, ""actual_offset_global_ms"": 136240.069, ""actual_duration_ms"": 102.601}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 136232.863, ""actual_onset_global_ms"": 136241.204, ""actual_offset_global_ms"": 141485.177, ""actual_duration_ms"": 5243.973}]",,,,,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050,050_T1_20260518_150242,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,3,15,formal,incongruent,1779087762,241.118,2026-05-18T15:05:06.919,0,0,0,1,141491.521,141497.724,incongruent,left,right,>><>>,s,s,1,1565.751,143165.129,none,,141591.521,141599.378,143165.129,3000,1565.751,143165.129,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 141491.521, ""actual_onset_global_ms"": 141497.724, ""actual_offset_global_ms"": 141596.915, ""actual_duration_ms"": 99.191}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 141591.521, ""actual_onset_global_ms"": 141599.378, ""actual_offset_global_ms"": 143165.129, ""actual_duration_ms"": 1565.751}]",,,,,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050,050_T1_20260518_150242,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,4,16,formal,congruent,1779087762,241.118,2026-05-18T15:05:08.599,0,0,0,1,143171.131,143175.538,congruent,right,right,>>>>>,j,j,1,1352.566,144633.005,none,,143271.131,143280.439,144633.005,3000,1352.566,144633.005,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 143171.131, ""actual_onset_global_ms"": 143175.538, ""actual_offset_global_ms"": 143279.053, ""actual_duration_ms"": 103.515}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 143271.131, ""actual_onset_global_ms"": 143280.439, ""actual_offset_global_ms"": 144633.005, ""actual_duration_ms"": 1352.566}]",,,,,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050,050_T1_20260518_150242,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,5,17,formal,congruent,1779087762,241.118,2026-05-18T15:05:10.069,0,0,0,1,144641.642,144647.559,congruent,left,left,<<<<<,s,s,1,2425.247,147175.51,none,,144741.642,144750.263,147175.51,3000,2425.247,147175.51,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 144641.642, ""actual_onset_global_ms"": 144647.559, ""actual_offset_global_ms"": 144748.761, ""actual_duration_ms"": 101.202}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 144741.642, ""actual_onset_global_ms"": 144750.263, ""actual_offset_global_ms"": 147175.51, ""actual_duration_ms"": 2425.247}]",,,,,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050,050_T1_20260518_150242,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,6,18,formal,incongruent,1779087762,241.118,2026-05-18T15:05:12.613,0,0,0,1,147184.814,147188.967,incongruent,left,right,>><>>,s,s,1,2569.443,149864.147,none,,147284.814,147294.704,149864.147,3000,2569.443,149864.147,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 147184.814, ""actual_onset_global_ms"": 147188.967, ""actual_offset_global_ms"": 147292.828, ""actual_duration_ms"": 103.861}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 147284.814, ""actual_onset_global_ms"": 147294.704, ""actual_offset_global_ms"": 149864.147, ""actual_duration_ms"": 2569.443}]",,,,,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050,050_T1_20260518_150242,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,7,19,formal,incongruent,1779087762,241.118,2026-05-18T15:05:15.299,0,0,0,1,149871.061,149876.393,incongruent,right,left,<<><<,j,j,1,1357.605,151337.95,none,,149971.061,149980.345,151337.95,3000,1357.605,151337.95,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 149871.061, ""actual_onset_global_ms"": 149876.393, ""actual_offset_global_ms"": 149978.773, ""actual_duration_ms"": 102.38}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 149971.061, ""actual_onset_global_ms"": 149980.345, ""actual_offset_global_ms"": 151337.95, ""actual_duration_ms"": 1357.605}]",,,,,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050,050_T1_20260518_150242,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,8,20,formal,congruent,1779087762,241.118,2026-05-18T15:05:16.771,0,0,0,1,151343.093,151349.308,congruent,right,right,>>>>>,j,j,1,2964.708,154417.023,none,,151443.093,151452.315,154417.023,3000,2964.708,154417.023,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 151343.093, ""actual_onset_global_ms"": 151349.308, ""actual_offset_global_ms"": 151449.984, ""actual_duration_ms"": 100.676}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 151443.093, ""actual_onset_global_ms"": 151452.315, ""actual_offset_global_ms"": 154417.023, ""actual_duration_ms"": 2964.708}]",,,,,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050,050_T1_20260518_150242,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,9,21,formal,congruent,1779087762,241.118,2026-05-18T15:05:19.852,0,0,0,1,154423.902,154427.976,congruent,left,left,<<<<<,s,s,1,1232.362,155763.694,none,,154523.902,154531.332,155763.694,3000,1232.362,155763.694,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 154423.902, ""actual_onset_global_ms"": 154427.976, ""actual_offset_global_ms"": 154529.525, ""actual_duration_ms"": 101.549}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 154523.902, ""actual_onset_global_ms"": 154531.332, ""actual_offset_global_ms"": 155763.694, ""actual_duration_ms"": 1232.362}]",,,,,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050,050_T1_20260518_150242,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,flanker,1,formal_block_1,formal,1,10,22,formal,incongruent,1779087762,241.118,2026-05-18T15:05:21.196,0,0,0,1,155768.497,155774.457,incongruent,right,left,<<><<,j,j,1,1470.792,157346.632,none,,155868.497,155875.84,157346.632,3000,1470.792,157346.632,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 155768.497, ""actual_onset_global_ms"": 155774.457, ""actual_offset_global_ms"": 155874.086, ""actual_duration_ms"": 99.629}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 155868.497, ""actual_onset_global_ms"": 155875.84, ""actual_offset_global_ms"": 157346.632, ""actual_duration_ms"": 1470.792}]",,,,,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
