participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,digit_support_target,digit_transform_demo_used,digit_keypad_demo_used,digit_hesitation_prompt_used,digit_post_support_span_success,intended_trial_start_ms,actual_trial_start_ms,span_length,trial_index_within_span,span_round,presented_sequence,correct_backward_sequence,participant_input_sequence,participant_input_string,input_method,first_key_latency_ms,response_complete_time_ms,accuracy,response_correct,omission_input,delete_count,clear_count,click_count,inter_key_intervals_ms,adaptive_decision,digits_audio_onsets_ms,digits_audio_files,digits_audio_events_json,rt_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,repeated_audio_once_in_practice,stage_records_json,termination_reason,terminal_span_length
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,1,1,practice,span_2,1779089528,168.524,2026-05-18T15:41:23.159,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,551660.321,551842.646,2,1,1,"[7, 5]","[""5"", ""7""]","[""5"", ""7""]",57,onscreen_mouse,10471.531,26617.554,1,1,0,1,0,5,"[1827.278, 2955.218]",,"[551845.635, 552889.271]","[""digit_7.wav"", ""digit_5.wav""]","[{""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 551845.635, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 552345.635}, {""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 552889.271, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 553389.271}]",,551760.321,551845.635,580647.583,2000,28801.948,580647.583,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 551660.321, ""actual_onset_global_ms"": 551842.646, ""actual_offset_global_ms"": 551848.58, ""actual_duration_ms"": 5.934}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 551760.321, ""actual_onset_global_ms"": 551845.635, ""actual_offset_global_ms"": 553389.271, ""actual_duration_ms"": 1543.636}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 553389.271, ""actual_onset_global_ms"": 553497.586, ""actual_offset_global_ms"": 553974.16, ""actual_duration_ms"": 476.574}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 553974.16, ""actual_onset_global_ms"": 554029.839, ""actual_offset_global_ms"": 580647.583, ""actual_duration_ms"": 26617.744}]",,
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,2,2,practice,span_2,1779089528,168.524,2026-05-18T15:41:52.152,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,580653.2,580823.663,2,2,1,"[6, 1]","[""1"", ""6""]","[""1"", ""6""]",16,onscreen_mouse,9249.764,33648.291,1,1,0,2,0,7,"[10989.312, 2400.534, 727.903]",,"[580826.54, 581859.666]","[""digit_6.wav"", ""digit_1.wav""]","[{""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 580826.54, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 581326.54}, {""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 581859.666, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 582359.666}]",,580753.2,580826.54,616613.489,2000,35786.949,616613.489,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 580653.2, ""actual_onset_global_ms"": 580823.663, ""actual_offset_global_ms"": 580829.597, ""actual_duration_ms"": 5.934}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 580753.2, ""actual_onset_global_ms"": 580826.54, ""actual_offset_global_ms"": 582359.666, ""actual_duration_ms"": 1533.126}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 582359.666, ""actual_onset_global_ms"": 582445.212, ""actual_offset_global_ms"": 582951.214, ""actual_duration_ms"": 506.002}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 582951.214, ""actual_onset_global_ms"": 582964.999, ""actual_offset_global_ms"": 616613.489, ""actual_duration_ms"": 33648.49}]",,
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,3,3,practice,span_2,1779089528,168.524,2026-05-18T15:42:28.118,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,616619.411,616790.188,2,3,1,"[7, 3]","[""3"", ""7""]","[""3"", ""7""]",37,hybrid,6776.357,17351.504,1,1,0,0,0,2,[5306.7],,"[616793.159, 617818.817]","[""digit_7.wav"", ""digit_3.wav""]","[{""audio_file"": ""digit_7.wav"", ""audio_start_global_ms"": 616793.159, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 617293.159}, {""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 617818.817, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 618318.817}]",,616719.411,616793.159,636271.068,2000,19477.909,636271.068,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 616619.411, ""actual_onset_global_ms"": 616790.188, ""actual_offset_global_ms"": 616796.122, ""actual_duration_ms"": 5.934}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 616719.411, ""actual_onset_global_ms"": 616793.159, ""actual_offset_global_ms"": 618318.817, ""actual_duration_ms"": 1525.658}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 618318.817, ""actual_onset_global_ms"": 618417.373, ""actual_offset_global_ms"": 618903.325, ""actual_duration_ms"": 485.952}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 618903.325, ""actual_onset_global_ms"": 618919.348, ""actual_offset_global_ms"": 636271.068, ""actual_duration_ms"": 17351.72}]",,
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,4,4,practice,span_2,1779089528,168.524,2026-05-18T15:42:47.776,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,636277.213,636460.033,2,4,1,"[4, 1]","[""1"", ""4""]","[""1"", ""4""]",14,hybrid,14136.79,18524.543,1,1,0,0,0,2,[3825.657],,"[636463.097, 637505.98]","[""digit_4.wav"", ""digit_1.wav""]","[{""audio_file"": ""digit_4.wav"", ""audio_start_global_ms"": 636463.097, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 636963.097}, {""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 637505.98, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 638005.98}]",,636377.213,636463.097,657125.22,2000,20662.123,657125.22,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 636277.213, ""actual_onset_global_ms"": 636460.033, ""actual_offset_global_ms"": 636465.967, ""actual_duration_ms"": 5.934}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 636377.213, ""actual_onset_global_ms"": 636463.097, ""actual_offset_global_ms"": 638005.98, ""actual_duration_ms"": 1542.883}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 638005.98, ""actual_onset_global_ms"": 638093.235, ""actual_offset_global_ms"": 638583.131, ""actual_duration_ms"": 489.896}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 638583.131, ""actual_onset_global_ms"": 638600.47, ""actual_offset_global_ms"": 657125.22, ""actual_duration_ms"": 18524.75}]",,
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,5,5,practice,span_2,1779089528,168.524,2026-05-18T15:43:08.630,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,657131.124,657299.025,2,5,1,"[8, 1]","[""1"", ""8""]","[""1"", ""8""]",18,hybrid,10991.881,15861.513,1,1,0,0,0,2,[4062.437],,"[657302.071, 658332.618]","[""digit_8.wav"", ""digit_1.wav""]","[{""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 657302.071, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 657802.071}, {""audio_file"": ""digit_1.wav"", ""audio_start_global_ms"": 658332.618, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 658832.618}]",,657231.124,657302.071,675292.37,2000,17990.299,675292.37,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 657131.124, ""actual_onset_global_ms"": 657299.025, ""actual_offset_global_ms"": 657304.959, ""actual_duration_ms"": 5.934}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 657231.124, ""actual_onset_global_ms"": 657302.071, ""actual_offset_global_ms"": 658832.618, ""actual_duration_ms"": 1530.547}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 658832.618, ""actual_onset_global_ms"": 658915.505, ""actual_offset_global_ms"": 659417.292, ""actual_duration_ms"": 501.787}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 659417.292, ""actual_onset_global_ms"": 659430.529, ""actual_offset_global_ms"": 675292.37, ""actual_duration_ms"": 15861.841}]",,
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,practice_digitspan,practice,1,6,6,practice,span_2,1779089528,168.524,2026-05-18T15:43:26.797,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,675298.499,675471.376,2,6,1,"[5, 8]","[""8"", ""5""]","[""8"", ""5""]",85,hybrid,12596.685,21477.303,1,1,0,0,0,2,[5528.601],,"[675474.312, 676539.619]","[""digit_5.wav"", ""digit_8.wav""]","[{""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 675474.312, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 675974.312}, {""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 676539.619, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 677039.619}]",,675398.499,675474.312,699117.562,2000,23643.25,699117.562,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 675298.499, ""actual_onset_global_ms"": 675471.376, ""actual_offset_global_ms"": 675477.31, ""actual_duration_ms"": 5.934}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 675398.499, ""actual_onset_global_ms"": 675474.312, ""actual_offset_global_ms"": 677039.619, ""actual_duration_ms"": 1565.307}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 677039.619, ""actual_onset_global_ms"": 677127.907, ""actual_offset_global_ms"": 677625.664, ""actual_duration_ms"": 497.757}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 677625.664, ""actual_onset_global_ms"": 677639.97, ""actual_offset_global_ms"": 699117.562, ""actual_duration_ms"": 21477.592}]",,
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,1,7,formal,span_2,1779089528,168.524,2026-05-18T15:44:07.051,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,715551.697,715722.123,2,1,1,"[5, 9]","[""9"", ""5""]","[""9"", ""5""]",95,hybrid,7680.095,15339.763,1,1,0,0,0,2,[6401.263],advance,"[715725.074, 716767.929]","[""digit_5.wav"", ""digit_9.wav""]","[{""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 715725.074, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 716225.074}, {""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 716767.929, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 717267.929}]",,715651.697,715725.074,733206.818,2000,17481.744,733206.818,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 715551.697, ""actual_onset_global_ms"": 715722.123, ""actual_offset_global_ms"": 715728.057, ""actual_duration_ms"": 5.934}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 715651.697, ""actual_onset_global_ms"": 715725.074, ""actual_offset_global_ms"": 717267.929, ""actual_duration_ms"": 1542.855}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 717267.929, ""actual_onset_global_ms"": 717360.821, ""actual_offset_global_ms"": 717851.6, ""actual_duration_ms"": 490.779}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 717851.6, ""actual_onset_global_ms"": 717866.786, ""actual_offset_global_ms"": 733206.818, ""actual_duration_ms"": 15340.032}]",two_failures_in_span,7.0
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_2,formal,1,2,8,formal,span_2,1779089528,168.524,2026-05-18T15:44:24.711,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,733213.224,733386.631,2,2,1,"[9, 6]","[""6"", ""9""]","[""6"", ""9""]",69,hybrid,8250.035,13975.597,1,1,0,0,0,2,[4935.716],advance,"[733389.479, 734428.819]","[""digit_9.wav"", ""digit_6.wav""]","[{""audio_file"": ""digit_9.wav"", ""audio_start_global_ms"": 733389.479, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 733889.479}, {""audio_file"": ""digit_6.wav"", ""audio_start_global_ms"": 734428.819, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 734928.819}]",,733313.224,733389.479,749490.897,2000,16101.418,749490.897,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 733213.224, ""actual_onset_global_ms"": 733386.631, ""actual_offset_global_ms"": 733392.565, ""actual_duration_ms"": 5.934}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 2000, ""intended_onset_ms"": 733313.224, ""actual_onset_global_ms"": 733389.479, ""actual_offset_global_ms"": 734928.819, ""actual_duration_ms"": 1539.34}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 734928.819, ""actual_onset_global_ms"": 735012.527, ""actual_offset_global_ms"": 735499.57, ""actual_duration_ms"": 487.043}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 735499.57, ""actual_onset_global_ms"": 735515.019, ""actual_offset_global_ms"": 749490.897, ""actual_duration_ms"": 13975.878}]",two_failures_in_span,7.0
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,1,9,formal,span_3,1779089528,168.524,2026-05-18T15:44:41.001,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,749502.362,749672.469,3,1,2,"[3, 5, 2]","[""2"", ""5"", ""3""]","[""2"", ""5"", ""3""]",253,hybrid,18318.543,37979.894,1,1,0,0,0,3,"[8936.314, 8165.838]",advance,"[749675.732, 750712.73, 751757.541]","[""digit_3.wav"", ""digit_5.wav"", ""digit_2.wav""]","[{""audio_file"": ""digit_3.wav"", ""audio_start_global_ms"": 749675.732, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 750175.732}, {""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 750712.73, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 751212.73}, {""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 751757.541, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 752257.541}]",,749602.362,749675.732,790834.635,3000,41158.903,790834.635,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 749502.362, ""actual_onset_global_ms"": 749672.469, ""actual_offset_global_ms"": 749678.403, ""actual_duration_ms"": 5.934}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 749602.362, ""actual_onset_global_ms"": 749675.732, ""actual_offset_global_ms"": 752257.541, ""actual_duration_ms"": 2581.809}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 752257.541, ""actual_onset_global_ms"": 752345.025, ""actual_offset_global_ms"": 752841.101, ""actual_duration_ms"": 496.076}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 752841.101, ""actual_onset_global_ms"": 752854.537, ""actual_offset_global_ms"": 790834.635, ""actual_duration_ms"": 37980.098}]",two_failures_in_span,7.0
25,25_T1_20260518_153208,Control,T1,standard,hci_substudy_v2,1,telemetry_v4,digit_span,3,formal_span_3,formal,2,2,10,formal,span_3,1779089528,168.524,2026-05-18T15:45:22.340,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,none,0,0,0,0,790841.079,791009.862,3,2,2,"[8, 5, 2]","[""2"", ""5"", ""8""]","[""2"", ""5"", ""8""]",258,hybrid,29072.356,46727.584,1,1,0,0,0,3,"[11932.423, 4877.504]",advance,"[791012.897, 792044.186, 793087.301]","[""digit_8.wav"", ""digit_5.wav"", ""digit_2.wav""]","[{""audio_file"": ""digit_8.wav"", ""audio_start_global_ms"": 791012.897, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 791512.897}, {""audio_file"": ""digit_5.wav"", ""audio_start_global_ms"": 792044.186, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 792544.186}, {""audio_file"": ""digit_2.wav"", ""audio_start_global_ms"": 793087.301, ""audio_expected_duration_ms"": 500, ""audio_stop_global_ms"": 793587.301}]",,790941.079,791012.897,840912.337,3000,49899.44,840912.337,0,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 790841.079, ""actual_onset_global_ms"": 791009.862, ""actual_offset_global_ms"": 791015.796, ""actual_duration_ms"": 5.934}, {""stage_name"": ""auditory_sequence"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 790941.079, ""actual_onset_global_ms"": 791012.897, ""actual_offset_global_ms"": 793587.301, ""actual_duration_ms"": 2574.404}, {""stage_name"": ""wait"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 793587.301, ""actual_onset_global_ms"": 793668.659, ""actual_offset_global_ms"": 794171.194, ""actual_duration_ms"": 502.535}, {""stage_name"": ""input_panel"", ""planned_duration_ms"": 15000, ""intended_onset_ms"": 794171.194, ""actual_onset_global_ms"": 794184.552, ""actual_offset_global_ms"": 840912.337, ""actual_duration_ms"": 46727.785}]",two_failures_in_span,7.0
