participant_id,session_id,group,timepoint,practice_layer,practice_protocol_version,telemetry_enabled,telemetry_version,task_name,task_order_index,block_name,block_type,block_index,trial_index_within_block,trial_index_global,practice_or_formal,condition_label,random_seed,screen_refresh_hz,timestamp_iso,omission,aborted,pause_count_during_trial,repeated_practice_round,prompt_level,support_type,support_trigger_reason,support_trigger_trial_index,rule_block_error_count,support_level,support_phase,support_duration_ms,post_support_success_streak,support_faded_after_trial,manual_intervention_flag,dccs_support_rule,dccs_error_type,dccs_dimension_highlight_used,dccs_demo_type,dccs_label_mode,dccs_post_support_rule_confusion,intended_trial_start_ms,actual_trial_start_ms,rule,cue_audio_file,cue_label,cue_audio_start_global_ms,cue_audio_expected_duration_ms,cue_audio_stop_global_ms,stimulus_color,stimulus_shape,stimulus_identity,correct_response_key,participant_response_key,response_correct,rt_ms,response_time_global_ms,trial_transition,previous_rule,current_rule,practice_pass_flag,cue_to_first_response_ms,feedback_type,feedback_audio_file,feedback_audio_start_global_ms,feedback_audio_expected_duration_ms,feedback_audio_stop_global_ms,intended_onset_ms,actual_onset_global_ms,actual_offset_global_ms,stage_duration_planned_ms,stage_duration_actual_ms,actual_trial_end_ms,stage_records_json,trigger_trial_index
056,056_T1_20260520_154937,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,1,1,practice,color,1779263377,117.245,2026-05-20T15:52:37.627,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,175450.906,175566.046,color,cue_color.wav,颜色,175598.088,500,176294.687,blue,boat,blue_boat,s,s,1,1619.94,178379.268,practice,,color,1.0,2781.382,correct,correct.wav,178382.853,150.0,178882.853,176050.906,176759.328,178379.268,3000,1619.94,178529.268,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 175450.906, ""actual_onset_global_ms"": 175566.046, ""actual_offset_global_ms"": 175574.575, ""actual_duration_ms"": 8.529}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 175550.906, ""actual_onset_global_ms"": 175597.886, ""actual_offset_global_ms"": 176749.22, ""actual_duration_ms"": 1151.334}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 176050.906, ""actual_onset_global_ms"": 176759.328, ""actual_offset_global_ms"": 178379.268, ""actual_duration_ms"": 1619.94}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 178379.268, ""actual_onset_global_ms"": 178411.389, ""actual_offset_global_ms"": 178543.356, ""actual_duration_ms"": 131.967}]",
056,056_T1_20260520_154937,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,2,2,practice,color,1779263377,117.245,2026-05-20T15:52:40.742,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,178566.237,178588.913,color,cue_color.wav,颜色,178694.736,500,179391.335,blue,rabbit,blue_rabbit,s,s,1,1045.554,180894.503,practice,,color,1.0,2199.997,correct,correct.wav,180910.933,150.0,181410.933,179166.237,179848.949,180894.503,3000,1045.554,181044.503,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 178566.237, ""actual_onset_global_ms"": 178588.913, ""actual_offset_global_ms"": 178675.992, ""actual_duration_ms"": 87.079}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 178666.237, ""actual_onset_global_ms"": 178694.506, ""actual_offset_global_ms"": 179839.662, ""actual_duration_ms"": 1145.156}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 179166.237, ""actual_onset_global_ms"": 179848.949, ""actual_offset_global_ms"": 180894.503, ""actual_duration_ms"": 1045.554}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 180894.503, ""actual_onset_global_ms"": 180930.341, ""actual_offset_global_ms"": 181082.415, ""actual_duration_ms"": 152.074}]",
056,056_T1_20260520_154937,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,3,3,practice,color,1779263377,117.245,2026-05-20T15:52:43.255,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,181079.613,181107.62,color,cue_color.wav,颜色,181205.782,500,181902.381,red,rabbit,red_rabbit,j,j,1,1095.748,183545.511,practice,,color,1.0,2339.953,correct,correct.wav,183547.856,150.0,184047.856,181679.613,182449.763,183545.511,3000,1095.748,183695.511,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 181079.613, ""actual_onset_global_ms"": 181107.62, ""actual_offset_global_ms"": 181195.023, ""actual_duration_ms"": 87.403}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 181179.613, ""actual_onset_global_ms"": 181205.558, ""actual_offset_global_ms"": 182441.12, ""actual_duration_ms"": 1235.562}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 181679.613, ""actual_onset_global_ms"": 182449.763, ""actual_offset_global_ms"": 183545.511, ""actual_duration_ms"": 1095.748}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 183545.511, ""actual_onset_global_ms"": 183571.353, ""actual_offset_global_ms"": 183707.498, ""actual_duration_ms"": 136.145}]",
056,056_T1_20260520_154937,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,4,4,practice,color,1779263377,117.245,2026-05-20T15:52:45.884,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,183708.582,183736.634,color,cue_color.wav,颜色,183845.596,500,184542.195,blue,rabbit,blue_rabbit,s,s,1,981.665,186078.695,practice,,color,1.0,2233.318,correct,correct.wav,186089.968,150.0,186589.968,184308.582,185097.03,186078.695,3000,981.665,186228.695,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 183708.582, ""actual_onset_global_ms"": 183736.634, ""actual_offset_global_ms"": 183829.718, ""actual_duration_ms"": 93.084}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 183808.582, ""actual_onset_global_ms"": 183845.377, ""actual_offset_global_ms"": 185085.205, ""actual_duration_ms"": 1239.828}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 184308.582, ""actual_onset_global_ms"": 185097.03, ""actual_offset_global_ms"": 186078.695, ""actual_duration_ms"": 981.665}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 186078.695, ""actual_onset_global_ms"": 186109.728, ""actual_offset_global_ms"": 186259.8, ""actual_duration_ms"": 150.072}]",
056,056_T1_20260520_154937,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,5,5,practice,color,1779263377,117.245,2026-05-20T15:52:48.434,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,186258.2,186278.797,color,cue_color.wav,颜色,186397.606,500,187094.205,red,boat,red_boat,j,j,1,527.636,188245.114,practice,,color,1.0,1847.725,correct,correct.wav,188251.058,150.0,188751.058,186858.2,187717.478,188245.114,3000,527.636,188395.114,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 186258.2, ""actual_onset_global_ms"": 186278.797, ""actual_offset_global_ms"": 186380.772, ""actual_duration_ms"": 101.975}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 186358.2, ""actual_onset_global_ms"": 186397.389, ""actual_offset_global_ms"": 187706.474, ""actual_duration_ms"": 1309.085}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 186858.2, ""actual_onset_global_ms"": 187717.478, ""actual_offset_global_ms"": 188245.114, ""actual_duration_ms"": 527.636}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 188245.114, ""actual_onset_global_ms"": 188275.918, ""actual_offset_global_ms"": 188412.071, ""actual_duration_ms"": 136.153}]",
056,056_T1_20260520_154937,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,pre_switch_practice,practice,1,6,6,practice,color,1779263377,117.245,2026-05-20T15:52:50.614,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,188437.565,188467.834,color,cue_color.wav,颜色,188571.17,500,189267.769,red,boat,red_boat,j,j,1,420.545,190321.1,practice,,color,1.0,1750.155,correct,correct.wav,190327.14,150.0,190827.14,189037.565,189900.555,190321.1,3000,420.545,190471.1,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 188437.565, ""actual_onset_global_ms"": 188467.834, ""actual_offset_global_ms"": 188557.627, ""actual_duration_ms"": 89.793}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 188537.565, ""actual_onset_global_ms"": 188570.945, ""actual_offset_global_ms"": 189889.096, ""actual_duration_ms"": 1318.151}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 189037.565, ""actual_onset_global_ms"": 189900.555, ""actual_offset_global_ms"": 190321.1, ""actual_duration_ms"": 420.545}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 190321.1, ""actual_onset_global_ms"": 190348.167, ""actual_offset_global_ms"": 190490.755, ""actual_duration_ms"": 142.588}]",
056,056_T1_20260520_154937,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,1,7,practice,shape,1779263377,117.245,2026-05-20T15:52:55.453,0,0,0,1,0,none,criterion_not_reached,7.0,1,1,brief_rule_prompt,900.0,0,0,0,shape,criterion_not_reached,0,light_rule_prompt,dimension_only,0,193276.891,193301.326,shape,cue_shape.wav,形状,193427.927,500,194194.185,blue,boat,blue_boat,j,s,0,4833.456,199428.925,practice,,shape,1.0,6001.293,incorrect,incorrect.wav,199438.814,150.0,199938.814,193876.891,194595.469,199428.925,3000,4833.456,199578.925,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 193276.891, ""actual_onset_global_ms"": 193301.326, ""actual_offset_global_ms"": 193385.616, ""actual_duration_ms"": 84.29}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 193376.891, ""actual_onset_global_ms"": 193427.632, ""actual_offset_global_ms"": 194585.873, ""actual_duration_ms"": 1158.241}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 193876.891, ""actual_onset_global_ms"": 194595.469, ""actual_offset_global_ms"": 199428.925, ""actual_duration_ms"": 4833.456}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 199428.925, ""actual_onset_global_ms"": 199468.781, ""actual_offset_global_ms"": 199611.696, ""actual_duration_ms"": 142.915}]",7.0
056,056_T1_20260520_154937,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,2,8,practice,shape,1779263377,117.245,2026-05-20T15:53:02.740,0,0,0,1,0,none,criterion_not_reached,7.0,1,1,brief_rule_prompt,900.0,1,1,0,shape,criterion_not_reached,0,light_rule_prompt,dimension_only,0,200564.217,200592.362,shape,cue_shape.wav,形状,200692.679,500,201458.937,red,rabbit,red_rabbit,s,s,1,4552.134,206451.91,practice,,shape,1.0,5759.443,correct,correct.wav,206464.273,150.0,206964.273,201164.217,201899.776,206451.91,3000,4552.134,206601.91,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 200564.217, ""actual_onset_global_ms"": 200592.362, ""actual_offset_global_ms"": 200679.907, ""actual_duration_ms"": 87.545}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 200664.217, ""actual_onset_global_ms"": 200692.467, ""actual_offset_global_ms"": 201889.752, ""actual_duration_ms"": 1197.285}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 201164.217, ""actual_onset_global_ms"": 201899.776, ""actual_offset_global_ms"": 206451.91, ""actual_duration_ms"": 4552.134}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 206451.91, ""actual_onset_global_ms"": 206486.621, ""actual_offset_global_ms"": 206627.076, ""actual_duration_ms"": 140.455}]",7.0
056,056_T1_20260520_154937,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,3,9,practice,shape,1779263377,117.245,2026-05-20T15:53:08.826,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,206651.007,206676.51,shape,cue_shape.wav,形状,206780.967,500,207547.225,blue,rabbit,blue_rabbit,s,s,1,1522.824,209486.03,practice,,shape,1.0,2705.268,correct,correct.wav,209497.158,150.0,209997.158,207251.007,207963.206,209486.03,3000,1522.824,209636.03,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 206651.007, ""actual_onset_global_ms"": 206676.51, ""actual_offset_global_ms"": 206762.467, ""actual_duration_ms"": 85.957}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 206751.007, ""actual_onset_global_ms"": 206780.762, ""actual_offset_global_ms"": 207954.11, ""actual_duration_ms"": 1173.348}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 207251.007, ""actual_onset_global_ms"": 207963.206, ""actual_offset_global_ms"": 209486.03, ""actual_duration_ms"": 1522.824}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 209486.03, ""actual_onset_global_ms"": 209518.87, ""actual_offset_global_ms"": 209661.19, ""actual_duration_ms"": 142.32}]",
056,056_T1_20260520_154937,Control,T1,adaptive,hci_substudy_v2,1,telemetry_v4,dccs,2,post_switch_practice,practice,2,4,10,practice,shape,1779263377,117.245,2026-05-20T15:53:11.834,0,0,0,1,0,none,,,0,0,none,0.0,0,0,0,,,0,none,none,0,209658.28,209683.494,shape,cue_shape.wav,形状,209785.757,500,210552.015,red,boat,red_boat,j,j,1,818.53,211853.175,practice,,shape,1.0,2067.645,correct,correct.wav,211873.663,150.0,212373.663,210258.28,211034.645,211853.175,3000,818.53,212003.175,"[{""stage_name"": ""fixation"", ""planned_duration_ms"": 100, ""intended_onset_ms"": 209658.28, ""actual_onset_global_ms"": 209683.494, ""actual_offset_global_ms"": 209771.545, ""actual_duration_ms"": 88.051}, {""stage_name"": ""cue"", ""planned_duration_ms"": 500, ""intended_onset_ms"": 209758.28, ""actual_onset_global_ms"": 209785.53, ""actual_offset_global_ms"": 211024.217, ""actual_duration_ms"": 1238.687}, {""stage_name"": ""stimulus"", ""planned_duration_ms"": 3000, ""intended_onset_ms"": 210258.28, ""actual_onset_global_ms"": 211034.645, ""actual_offset_global_ms"": 211853.175, ""actual_duration_ms"": 818.53}, {""stage_name"": ""feedback"", ""planned_duration_ms"": 150, ""intended_onset_ms"": 211853.175, ""actual_onset_global_ms"": 211894.928, ""actual_offset_global_ms"": 212043.155, ""actual_duration_ms"": 148.227}]",
